policy_id,map_mutations,detections,acceptance_rate
cap-sys-admin,1,3,0.3333333333333333
drop-net-raw-capability,1,2,0.5
host-ports,0,1,0.0
hostpath-volume,0,1,0.0
latest-tag,1,2,0.5
no-read-only-root-fs,1,3,0.3333333333333333
privilege-escalation-container,1,2,0.5
privileged-container,0,1,0.0
run-as-non-root,1,3,0.3333333333333333
unset-cpu-requirements,1,3,0.3333333333333333
unset-memory-requirements,1,3,0.3333333333333333
