policy_id,polaris_fixes,detections,acceptance_rate
drop_cap_sys_admin,0,3,0.0
drop_capabilities,0,4,0.0
no_host_path,0,1,0.0
no_host_ports,0,1,0.0
no_latest_tag,0,2,0.0
no_privileged,0,1,0.0
read_only_root_fs,0,3,0.0
run_as_non_root,0,3,0.0
set_requests_limits,0,6,0.0
