policy_id,accepted,total,acceptance_rate,median_latency_ms
drop_capabilities,0,2,0.0,889.28
no_latest_tag,0,3,0.0,1202.19
no_privileged,0,1,0.0,1254.04
read_only_root_fs,0,23,0.0,1215.4
run_as_non_root,0,4,0.0,1330.24
set_requests_limits,0,67,0.0,1183.72
