policy_id,accepted,total,acceptance_rate,median_latency_ms
drop_capabilities,0,12,0.0,967.16
env_var_secret,0,3,0.0,1017.64
no_latest_tag,0,25,0.0,1075.44
no_privileged,0,5,0.0,916.69
read_only_root_fs,0,107,0.0,1034.79
run_as_non_root,0,63,0.0,1024.62
set_requests_limits,0,285,0.0,1082.24
