policy_id,polaris_fixes,detections,acceptance_rate
drop_capabilities,0,12,0.0
env_var_secret,0,3,0.0
no_latest_tag,0,25,0.0
no_privileged,0,5,0.0
read_only_root_fs,86,107,0.8037383177570093
run_as_non_root,37,63,0.5873015873015873
set_requests_limits,135,285,0.47368421052631576
