policy_id,kyverno_mutations,detections,acceptance_rate
drop_capabilities,12,12,1.0
env_var_secret,3,3,1.0
no_latest_tag,25,25,1.0
no_privileged,5,5,1.0
read_only_root_fs,107,107,1.0
run_as_non_root,63,63,1.0
set_requests_limits,285,285,1.0
