policy_id,kyverno_webhook_accept,detections,acceptance_rate
drop_capabilities,3,12,0.25
env_var_secret,0,3,0.0
no_latest_tag,0,25,0.0
no_privileged,4,5,0.8
read_only_root_fs,106,107,0.9906542056074766
run_as_non_root,62,63,0.9841269841269841
set_requests_limits,283,285,0.9929824561403509
