policy_id,accepted,total,acceptance_rate,median_latency_ms
drop_capabilities,0,15,0.0,1047.33
env_var_secret,0,5,0.0,1016.65
no_latest_tag,0,75,0.0,1318.77
no_privileged,0,8,0.0,1139.08
read_only_root_fs,0,226,0.0,1098.69
run_as_non_root,0,179,0.0,1063.78
set_requests_limits,0,492,0.0,1189.3
