corpus,mode,manifests,accepted,acceptance_rate,source_metrics
shared_supported_5000,rules+guardrails,5000,4677,0.9354,data/metrics_rules_5000.json
shared_supported_5000,grok+rule-guardrails,5000,4426,0.8852,data/batch_runs/grok_5k/metrics_grok5k.json
