policy_id,polaris_fixes,detections,acceptance_rate
drop_capabilities,0,12,0.0
env_var_secret,0,3,0.0
no_latest_tag,0,25,0.0
no_privileged,0,5,0.0
read_only_root_fs,0,107,0.0
run_as_non_root,0,63,0.0
set_requests_limits,0,285,0.0
