Failure Cause,Count
"kubectl dry-run failed: The CronJob ""my-cron-job"" is invalid:  * spec.jobTemplate.spec.template.spec...",3
"kubectl dry-run failed: The StatefulSet ""mongo"" is invalid: spec.template.spec.containers[0].volumeM...",3
"kubectl dry-run failed: The Deployment ""fb-user-datastore-api-\{\{ .Values.environmentName \}\}"" is ...",3
"kubectl dry-run failed: The StatefulSet ""release-name-postgresql"" is invalid: spec.template.spec.con...",3
"kubectl dry-run failed: The CronJob ""pt-1.5-mnist-convergence-v3-8"" is invalid:  * spec.jobTemplate....",3
"kubectl dry-run failed: The StatefulSet ""github-actions-runner-controller-registry"" is invalid: spec...",3
"kubectl dry-run failed: The Deployment ""pgbench"" is invalid:  * spec.template.spec.containers[0].res...",3
"kubectl dry-run failed: The Deployment ""canary-demo"" is invalid: spec.template.spec.containers[0].re...",3
environment variable WILDCARD\_ENDPOINT\_CERT\_SECRET must use secretKeyRef,2
"kubectl dry-run failed: The StatefulSet ""observatorium-xyz-loki-querier"" is invalid: spec.template.s...",2
"kubectl dry-run failed: The Deployment ""hive-controllers"" is invalid: spec.template.spec.containers[...",2
"kubectl dry-run failed: The Deployment ""flog"" is invalid: spec.template.spec.containers[0].resources...",2
"kubectl dry-run failed: The StatefulSet ""release-name-alertmanager"" is invalid: spec.template.spec.c...",2
"kubectl dry-run failed: The Deployment ""registry"" is invalid: spec.template.spec.containers[0].resou...",2
environment variable STANDARD\_AUTHSERVICE\_CERT\_SECRET\_NAME must use secretKeyRef,2
"kubectl dry-run failed: The StatefulSet ""web"" is invalid: spec.template.spec.containers[0].volumeMou...",2
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""aws-cli"" i...",2
"kubectl dry-run failed: The Deployment ""sample-app"" is invalid: spec.template.spec.containers[0].res...",2
"kubectl dry-run failed: The StatefulSet ""oxshibboleth"" is invalid: spec.template.metadata.labels: In...",2
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Job in version ...",2
